ID,어휘,표기통일,뜻검수,예문1,예문2,예문3,그림,관련어10,L4음절선택,L5어절조립,교란지검수,문화편향검수,최종승인,비고
1,움직임,움직임,자세나 자리 등이 바뀜.,사람의 움직임.,카메라의 움직임.,움직임이 느려지다.,미사용,"짐작, 방식, 까닭, 자료, 기술, 평가",정답:움직임 | 보기:움/측/차/직/임,"chunks:나는/수업 시간에/움직임을/배웠다. | targetIndex:2 | vocabDistractor:짐작을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:움직임이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=26708 | AUTO_SELECTED_90_BALANCED
2,방식,방식,일정한 방법이나 형식.,대응 방식.,접근 방식.,해결 방식.,미사용,"선택, 방법, 판단, 확대, 제출, 특징",정답:방식 | 보기:할/행/방/례/식,"chunks:우리는/교실에서/방식을/배웠다. | targetIndex:2 | vocabDistractor:선택을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:방식이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=15893 | AUTO_SELECTED_90_BALANCED
3,영향,영향,어떤 것의 효과나 작용이 다른 것에 미치는 것.,긍정적 영향.,부정적 영향.,영향이 크다.,미사용,"형태, 설명, 정리, 용액, 작품, 실행",정답:영향 | 보기:향/이/영/교/당,"chunks:민수는/집에서/영향을/배웠다. | targetIndex:2 | vocabDistractor:형태를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:영향이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=14102 | AUTO_SELECTED_90_BALANCED
4,환경,환경,생물이 살아가는 데 영향을 주는 자연 상태나 조건.,자연 환경.,해양 환경.,환경 오염.,미사용,"발달, 범위, 참여, 표시, 영향, 모두",정답:환경 | 보기:환/슷/지/활/경,"chunks:지수는/도서관에서/환경을/배웠다. | targetIndex:2 | vocabDistractor:발달을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:환경이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=49093 | AUTO_SELECTED_90_BALANCED
5,재다,재다,"도구나 방법을 써서 길이, 크기, 양 등의 정도를 알아보다.",잰 거리.,길이를 재다.,너비를 재다.,미사용,"보고, 요약, 발달, 참고, 용액, 도구",정답:재다 | 보기:재/다/원/요/미,"chunks:나는/수업 시간에/'재다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'보고' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'재다' 뜻이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=24914 | AUTO_SELECTED_90_BALANCED
6,측정,측정,일정한 양을 기준으로 하여 같은 종류의 다른 양의 크기를 잼.,거리 측정.,능력 측정.,오염 측정.,미사용,"범위, 주제, 판단, 단순, 비교, 작품",정답:측정 | 보기:차/짜/리/측/정,"chunks:우리는/교실에서/측정을/배웠다. | targetIndex:2 | vocabDistractor:범위를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:측정이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=79025 | AUTO_SELECTED_90_BALANCED
7,추측,추측,어떤 사실이나 보이는 것을 통해서 다른 무엇을 미루어 짐작함.,추측 기사.,추측 보도.,추측이 되다.,미사용,"참고, 방법, 정리, 미래, 내용, 보호",정답:추측 | 보기:측/추/질/반/요,"chunks:민수는/집에서/추측을/배웠다. | targetIndex:2 | vocabDistractor:참고를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:추측이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=27806 | AUTO_SELECTED_90_BALANCED
8,단서,단서,문제를 해결하는 데 도움이 되는 사실.,사건의 단서.,결정적 단서.,유일한 단서.,미사용,"역할, 원인, 도구, 반대, 영향, 크기",정답:단서 | 보기:대/서/류/파/단,"chunks:지수는/도서관에서/단서를/배웠다. | targetIndex:2 | vocabDistractor:역할을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:단서가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=42202 | AUTO_SELECTED_90_BALANCED
9,짐작,짐작,사정이나 형편 등을 어림잡아 생각함.,사장의 짐작.,얼토당토않은 짐작.,틀린 짐작.,미사용,"까닭, 추측, 모두, 미래, 관찰, 고려",정답:짐작 | 보기:획/작/짐/록/명,"chunks:나는/수업 시간에/짐작을/배웠다. | targetIndex:2 | vocabDistractor:까닭을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:짐작이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=29021 | AUTO_SELECTED_90_BALANCED
10,계획,계획,앞으로의 일을 자세히 생각하여 정함.,작업 계획.,학습 계획.,계획을 잡다.,미사용,"추측, 구조, 대비, 보존, 완성, 파악",정답:계획 | 보기:계/직/효/획/색,"chunks:우리는/교실에서/계획을/배웠다. | targetIndex:2 | vocabDistractor:추측을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:계획이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=23324 | AUTO_SELECTED_90_BALANCED
